City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Ler,SS,83.1,scattered clouds,8.3018,30.1418,
494,Ambilobe,MG,75.99,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
495,Basco,PH,81.07,broken clouds,20.4487,121.9702,Nathaniel's Lodge
497,Los Andes,CL,76.77,overcast clouds,-32.8337,-70.5983,Hotel Los Andes
498,Pochutla,MX,84.81,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
502,Puerto Escondido,MX,83.32,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
504,Amahai,ID,79.12,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
506,Stephenville,US,73.74,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
509,Ambon,ID,77.14,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
510,Akyab,MM,79.75,broken clouds,20.15,92.9,Hotel Memory
511,Poso,ID,77.79,broken clouds,-1.3959,120.7524,Hotel 77 Poso
512,Harlingen,US,84.33,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
513,Manjeshwar,IN,77.95,heavy intensity rain,12.7194,74.8861,SOOFINAGAR
520,Tsiroanomandidy,MG,77.81,clear sky,-18.7667,46.0333,Hotel du Bongolave
523,Vacaria,BR,75.72,broken clouds,-28.5122,-50.9339,Pampa Hotel
525,Chak Azam Sahu,PK,72.91,clear sky,30.75,73.0333,Kot Ghazi khan
527,Kawalu,ID,72.97,moderate rain,-7.3817,108.2082,KOSAN UNGU UNSIK
532,Hobyo,SO,81.21,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
533,San Policarpo,PH,80.02,broken clouds,12.1791,125.5072,Agapita M. Nicart
539,Luwuk,ID,77.34,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
545,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
549,Balud,PH,78.76,broken clouds,10.1476,123.6953,Pulchra Resort
550,San Juan De Los Morros,VE,83.95,broken clouds,9.9115,-67.3538,Hotel La Montaña
551,Progreso,MX,83.1,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
554,Hirara,JP,76.3,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
557,Samarai,PG,82.27,overcast clouds,-10.6167,150.6667,Nuli Sapi
563,Kudahuvadhoo,MV,83.37,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
564,Mount Isa,AU,82.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
565,Pafos,CY,74.98,few clouds,34.7667,32.4167,Elysium Hotel
566,Boueni,YT,80.58,clear sky,-12.9025,45.0761,The feet in water
569,Atambua,ID,76.6,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
572,Jatai,BR,83.73,scattered clouds,-17.8814,-51.7144,La Vitre Hotel
573,Det Udom,TH,75.02,overcast clouds,14.906,105.0784,Chatsuda Resort
574,Calvia,ES,75.92,broken clouds,39.5657,2.5062,Castell Son Claret
583,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
586,Nacala,MZ,77.83,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
587,Edgewater,US,72.23,few clouds,28.9889,-80.9023,Islander Beach Resort
591,Abonnema,NG,82.24,light rain,4.7084,6.7931,Corper's Lodge Obonoma
592,Kampene,CD,72.3,light rain,-3.6,26.6667,
594,Manakara,MG,74.7,light rain,-22.1333,48.0167,La Residence Manakara
595,Tautira,PF,73.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
598,Marsh Harbour,BS,78.17,clear sky,26.5412,-77.0636,Abaco Beach Resort
599,Avanigadda,IN,80.74,overcast clouds,16.0215,80.9181,AP Camping
602,Quelimane,MZ,78.75,broken clouds,-17.8786,36.8883,Hotel Flamingo
604,Karoi,ZW,81.86,broken clouds,-16.8099,29.6925,Chikangwe Guest houses
